date,code,amount,closeable_amount,avg_cost,acc_avg_cost,price,value,floating_pnl,floating_pnl_pct,cash,positions_value,total_value,daily_positions_value,daily_total_market_value,daily_floating_pnl
2025-02-05 15:00:00,601899.XSHG,1200,0,16.61,16.61,16.47,19764.0,-168.00000000000068,-0.8428657435279985,7578.190000000006,90814.0,98392.19,90814.0,98392.19,-1580.0000000000036
2025-02-05 15:00:00,601166.XSHG,900,0,20.51,20.51,20.13,18117.0,-342.0000000000023,-1.8527547537786515,7578.190000000006,90814.0,98392.19,90814.0,98392.19,-1580.0000000000036
2025-02-05 15:00:00,600036.XSHG,400,0,40.9,40.9,40.0,16000.0,-359.99999999999943,-2.2004889975550057,7578.190000000006,90814.0,98392.19,90814.0,98392.19,-1580.0000000000036
2025-02-05 15:00:00,601398.XSHG,2900,0,6.83,6.83,6.69,19401.0,-405.9999999999991,-2.0497803806734938,7578.190000000006,90814.0,98392.19,90814.0,98392.19,-1580.0000000000036
2025-02-05 15:00:00,000651.XSHE,400,0,44.59,44.59,43.83,17532.0,-304.00000000000205,-1.7044180309486512,7578.190000000006,90814.0,98392.19,90814.0,98392.19,-1580.0000000000036
2025-02-06 15:00:00,601899.XSHG,1200,1200,16.61,16.61,16.31,19572.0,-360.00000000000085,-1.8061408789885602,7578.190000000006,90725.0,98303.19,90725.0,98303.19,-1669.0000000000023
2025-02-06 15:00:00,601166.XSHG,900,900,20.51,20.51,20.24,18216.0,-243.0000000000028,-1.3164310092637854,7578.190000000006,90725.0,98303.19,90725.0,98303.19,-1669.0000000000023
2025-02-06 15:00:00,600036.XSHG,400,400,40.9,40.9,40.2,16080.000000000002,-279.9999999999983,-1.7114914425427785,7578.190000000006,90725.0,98303.19,90725.0,98303.19,-1669.0000000000023
2025-02-06 15:00:00,601398.XSHG,2900,2900,6.83,6.83,6.69,19401.0,-405.9999999999991,-2.0497803806734938,7578.190000000006,90725.0,98303.19,90725.0,98303.19,-1669.0000000000023
2025-02-06 15:00:00,000651.XSHE,400,400,44.59,44.59,43.64,17456.0,-380.00000000000114,-2.1305225386858084,7578.190000000006,90725.0,98303.19,90725.0,98303.19,-1669.0000000000023
2025-02-07 15:00:00,601899.XSHG,1200,1200,16.61,16.61,16.62,19944.0,12.000000000001876,0.060204695966303845,7578.190000000006,91181.0,98759.19,91181.0,98759.19,-1212.9999999999984
2025-02-07 15:00:00,601166.XSHG,900,900,20.51,20.51,20.12,18108.0,-351.0000000000005,-1.9015114578254555,7578.190000000006,91181.0,98759.19,91181.0,98759.19,-1212.9999999999984
2025-02-07 15:00:00,600036.XSHG,400,400,40.9,40.9,40.2,16080.000000000002,-279.9999999999983,-1.7114914425427785,7578.190000000006,91181.0,98759.19,91181.0,98759.19,-1212.9999999999984
2025-02-07 15:00:00,601398.XSHG,2900,2900,6.83,6.83,6.69,19401.0,-405.9999999999991,-2.0497803806734938,7578.190000000006,91181.0,98759.19,91181.0,98759.19,-1212.9999999999984
2025-02-07 15:00:00,000651.XSHE,400,400,44.59,44.59,44.12,17648.0,-188.0000000000024,-1.0540479928235147,7578.190000000006,91181.0,98759.19,91181.0,98759.19,-1212.9999999999984
2025-02-10 15:00:00,601899.XSHG,1200,1200,16.61,16.61,16.87,20244.0,312.0000000000019,1.5653220951234337,7578.190000000006,91694.0,99272.19,91694.0,99272.19,-699.9999999999978
2025-02-10 15:00:00,601166.XSHG,900,900,20.51,20.51,20.35,18315.0,-144.0000000000001,-0.7801072647489082,7578.190000000006,91694.0,99272.19,91694.0,99272.19,-699.9999999999978
2025-02-10 15:00:00,600036.XSHG,400,400,40.9,40.9,40.6,16240.0,-119.99999999999886,-0.7334963325183352,7578.190000000006,91694.0,99272.19,91694.0,99272.19,-699.9999999999978
2025-02-10 15:00:00,601398.XSHG,2900,2900,6.83,6.83,6.67,19343.0,-464.0000000000004,-2.342606149341142,7578.190000000006,91694.0,99272.19,91694.0,99272.19,-699.9999999999978
2025-02-10 15:00:00,000651.XSHE,400,400,44.59,44.59,43.88,17552.0,-284.00000000000034,-1.592285265754656,7578.190000000006,91694.0,99272.19,91694.0,99272.19,-699.9999999999978
2025-02-11 15:00:00,601899.XSHG,1200,1200,16.61,16.61,17.28,20736.0,804.000000000002,4.033714629741136,7578.190000000006,92685.0,100263.19,92685.0,100263.19,290.99999999999915
2025-02-11 15:00:00,601166.XSHG,900,900,20.51,20.51,20.35,18315.0,-144.0000000000001,-0.7801072647489082,7578.190000000006,92685.0,100263.19,92685.0,100263.19,290.99999999999915
2025-02-11 15:00:00,600036.XSHG,400,400,40.9,40.9,40.98,16392.0,31.999999999999318,0.19559902200487755,7578.190000000006,92685.0,100263.19,92685.0,100263.19,290.99999999999915
2025-02-11 15:00:00,601398.XSHG,2900,2900,6.83,6.83,6.82,19778.0,-28.999999999999382,-0.14641288433381305,7578.190000000006,92685.0,100263.19,92685.0,100263.19,290.99999999999915
2025-02-11 15:00:00,000651.XSHE,400,400,44.59,44.59,43.66,17464.0,-372.00000000000273,-2.085669432608228,7578.190000000006,92685.0,100263.19,92685.0,100263.19,290.99999999999915
2025-02-12 15:00:00,601899.XSHG,1200,1200,16.61,16.61,16.98,20376.0,444.0000000000012,2.227573750752554,7578.190000000006,93258.0,100836.19,93258.0,100836.19,863.9999999999986
2025-02-12 15:00:00,601166.XSHG,900,900,20.51,20.51,20.8,18720.0,260.9999999999992,1.4139444173573823,7578.190000000006,93258.0,100836.19,93258.0,100836.19,863.9999999999986
2025-02-12 15:00:00,600036.XSHG,400,400,40.9,40.9,41.62,16648.0,287.99999999999955,1.760391198044009,7578.190000000006,93258.0,100836.19,93258.0,100836.19,863.9999999999986
2025-02-12 15:00:00,601398.XSHG,2900,2900,6.83,6.83,6.9,20010.0,203.00000000000082,1.024890190336758,7578.190000000006,93258.0,100836.19,93258.0,100836.19,863.9999999999986
2025-02-12 15:00:00,000651.XSHE,400,400,44.59,44.59,43.76,17504.0,-332.00000000000216,-1.8614039022202378,7578.190000000006,93258.0,100836.19,93258.0,100836.19,863.9999999999986
2025-02-13 15:00:00,601899.XSHG,1200,1200,16.61,16.61,17.01,20412.000000000004,480.00000000000256,2.408187838651421,7578.190000000006,93456.0,101034.19,93456.0,101034.19,1061.9999999999995
2025-02-13 15:00:00,601166.XSHG,900,900,20.51,20.51,20.72,18648.0,188.99999999999756,1.0238907849829282,7578.190000000006,93456.0,101034.19,93456.0,101034.19,1061.9999999999995
2025-02-13 15:00:00,600036.XSHG,400,400,40.9,40.9,41.71,16684.0,324.0000000000009,1.9804400977995185,7578.190000000006,93456.0,101034.19,93456.0,101034.19,1061.9999999999995
2025-02-13 15:00:00,601398.XSHG,2900,2900,6.83,6.83,6.96,20184.0,376.9999999999997,1.9033674963396807,7578.190000000006,93456.0,101034.19,93456.0,101034.19,1061.9999999999995
2025-02-13 15:00:00,000651.XSHE,400,400,44.59,44.59,43.82,17528.0,-308.00000000000125,-1.7268445839874524,7578.190000000006,93456.0,101034.19,93456.0,101034.19,1061.9999999999995
2025-02-14 15:00:00,601899.XSHG,1200,1200,16.61,16.61,17.16,20592.0,660.0000000000009,3.31125827814569,7578.190000000006,94315.0,101893.19,94315.0,101893.19,1921.0000000000005
2025-02-14 15:00:00,601166.XSHG,900,900,20.51,20.51,21.16,19044.0,584.9999999999987,3.1691857630424147,7578.190000000006,94315.0,101893.19,94315.0,101893.19,1921.0000000000005
2025-02-14 15:00:00,600036.XSHG,400,400,40.9,40.9,42.03,16812.0,452.000000000001,2.762836185819073,7578.190000000006,94315.0,101893.19,94315.0,101893.19,1921.0000000000005
2025-02-14 15:00:00,601398.XSHG,2900,2900,6.83,6.83,6.99,20271.0,464.0000000000004,2.342606149341142,7578.190000000006,94315.0,101893.19,94315.0,101893.19,1921.0000000000005
2025-02-14 15:00:00,000651.XSHE,400,400,44.59,44.59,43.99,17596.0,-240.00000000000057,-1.3455931823278755,7578.190000000006,94315.0,101893.19,94315.0,101893.19,1921.0000000000005
2025-02-17 15:00:00,601899.XSHG,1200,1200,16.61,16.61,16.5,19800.0,-131.99999999999932,-0.6622516556291314,7578.190000000006,92995.0,100573.19,92995.0,100573.19,600.9999999999977
2025-02-17 15:00:00,601166.XSHG,900,900,20.51,20.51,20.95,18855.0,395.99999999999795,2.1452949780594643,7578.190000000006,92995.0,100573.19,92995.0,100573.19,600.9999999999977
2025-02-17 15:00:00,600036.XSHG,400,400,40.9,40.9,41.72,16688.0,328.0000000000001,2.004889975550128,7578.190000000006,92995.0,100573.19,92995.0,100573.19,600.9999999999977
2025-02-17 15:00:00,601398.XSHG,2900,2900,6.83,6.83,6.96,20184.0,376.9999999999997,1.9033674963396807,7578.190000000006,92995.0,100573.19,92995.0,100573.19,600.9999999999977
2025-02-17 15:00:00,000651.XSHE,400,400,44.59,44.59,43.67,17468.0,-368.0000000000007,-2.0632428795694158,7578.190000000006,92995.0,100573.19,92995.0,100573.19,600.9999999999977
2025-02-18 15:00:00,601899.XSHG,1200,1200,16.61,16.61,16.41,19692.0,-239.99999999999915,-1.2040939193256994,7578.190000000006,93230.0,100808.19,93230.0,100808.19,835.999999999998
2025-02-18 15:00:00,601166.XSHG,900,900,20.51,20.51,21.05,18945.0,485.9999999999992,2.6328620185275486,7578.190000000006,93230.0,100808.19,93230.0,100808.19,835.999999999998
2025-02-18 15:00:00,600036.XSHG,400,400,40.9,40.9,42.05,16820.0,459.99999999999943,2.8117359413202925,7578.190000000006,93230.0,100808.19,93230.0,100808.19,835.999999999998
2025-02-18 15:00:00,601398.XSHG,2900,2900,6.83,6.83,7.09,20561.0,753.9999999999994,3.8067349926793614,7578.190000000006,93230.0,100808.19,93230.0,100808.19,835.999999999998
2025-02-18 15:00:00,000651.XSHE,400,400,44.59,44.59,43.03,17212.0,-624.0000000000009,-3.498542274052485,7578.190000000006,93230.0,100808.19,93230.0,100808.19,835.999999999998
2025-02-19 15:00:00,601899.XSHG,1200,1200,16.61,16.61,16.35,19620.0,-311.9999999999976,-1.5653220951234115,7578.190000000006,92533.0,100111.19,92533.0,100111.19,138.99999999999727
2025-02-19 15:00:00,601166.XSHG,900,900,20.51,20.51,21.0,18900.0,440.9999999999986,2.3890784982935065,7578.190000000006,92533.0,100111.19,92533.0,100111.19,138.99999999999727
2025-02-19 15:00:00,600036.XSHG,400,400,40.9,40.9,41.98,16792.0,431.9999999999993,2.6405867970660024,7578.190000000006,92533.0,100111.19,92533.0,100111.19,138.99999999999727
2025-02-19 15:00:00,601398.XSHG,2900,2900,6.83,6.83,7.05,20445.0,637.9999999999993,3.221083455344065,7578.190000000006,92533.0,100111.19,92533.0,100111.19,138.99999999999727
2025-02-19 15:00:00,000651.XSHE,400,400,44.59,44.59,41.94,16776.0,-1060.0000000000023,-5.943036555281466,7578.190000000006,92533.0,100111.19,92533.0,100111.19,138.99999999999727
2025-02-20 15:00:00,601899.XSHG,1200,1200,16.61,16.61,16.44,19728.0,-203.99999999999778,-1.0234798314268434,7578.190000000006,92496.0,100074.19,92496.0,100074.19,102.00000000000091
2025-02-20 15:00:00,601166.XSHG,900,900,20.51,20.51,20.84,18756.0,296.99999999999847,1.6089712335445983,7578.190000000006,92496.0,100074.19,92496.0,100074.19,102.00000000000091
2025-02-20 15:00:00,600036.XSHG,400,400,40.9,40.9,41.85,16740.0,380.00000000000114,2.3227383863080764,7578.190000000006,92496.0,100074.19,92496.0,100074.19,102.00000000000091
2025-02-20 15:00:00,601398.XSHG,2900,2900,6.83,6.83,7.08,20532.0,725.0,3.660322108345526,7578.190000000006,92496.0,100074.19,92496.0,100074.19,102.00000000000091
2025-02-20 15:00:00,000651.XSHE,400,400,44.59,44.59,41.85,16740.0,-1096.000000000001,-6.144875532630634,7578.190000000006,92496.0,100074.19,92496.0,100074.19,102.00000000000091
2025-02-21 15:00:00,601899.XSHG,1200,1200,16.61,16.61,16.19,19428.0,-503.9999999999978,-2.5285972305839732,7578.190000000006,91232.0,98810.19,91232.0,98810.19,-1162.0000000000002
2025-02-21 15:00:00,601166.XSHG,900,900,20.51,20.51,20.67,18603.0,144.0000000000001,0.7801072647489082,7578.190000000006,91232.0,98810.19,91232.0,98810.19,-1162.0000000000002
2025-02-21 15:00:00,600036.XSHG,400,400,40.9,40.9,41.4,16560.0,200.0,1.2224938875305513,7578.190000000006,91232.0,98810.19,91232.0,98810.19,-1162.0000000000002
2025-02-21 15:00:00,601398.XSHG,2900,2900,6.83,6.83,6.93,20097.0,289.999999999999,1.4641288433382194,7578.190000000006,91232.0,98810.19,91232.0,98810.19,-1162.0000000000002
