标的,盈亏(元),名称
600900.XSHG,1123.649999999998,
300124.XSHE,947.9299999999994,
601088.XSHG,556.3399999999975,
000651.XSHE,486.26000000000056,
000333.XSHE,459.10000000000036,
601816.XSHG,438.2399999999996,
601899.XSHG,421.58000000000015,
601398.XSHG,399.7899999999997,
600309.XSHG,275.01999999999816,
601328.XSHG,196.06999999999965,
300750.XSHE,38.49000000000159,
600919.XSHG,-5.010000000000513,
300274.XSHE,-285.1200000000023,
002714.XSHE,-338.1600000000005,
601318.XSHG,-347.2300000000017,
601166.XSHG,-697.3800000000003,
000568.XSHE,-814.6699999999995,
601012.XSHG,-987.1299999999994,
002415.XSHE,-1001.8699999999978,
600030.XSHG,-1196.7800000000018,
300059.XSHE,-2621.4500000000003,
300308.XSHE,-2705.900000000001,
002475.XSHE,-3026.6500000000005,
000858.XSHE,-3076.299999999999,
