时间,标的,数量,价格,金额,手续费,印花税,总费用,方向
2024-01-02 09:30:00,601166.XSHG,1300,14.92,19396.0,5.0,0.0,5.0,买入
2024-01-02 09:30:00,002475.XSHE,500,34.44,17220.0,5.0,0.0,5.0,买入
2024-01-02 09:30:00,601012.XSHG,800,22.61,18088.0,5.0,0.0,5.0,买入
2024-01-02 09:30:00,000333.XSHE,300,54.63,16389.0,5.0,0.0,5.0,买入
2024-01-02 09:30:00,002714.XSHE,400,41.18,16472.0,5.0,0.0,5.0,买入
2024-01-08 09:30:00,601166.XSHG,-1300,14.73,19149.0,5.0,19.15,24.15,卖出
2024-01-08 09:30:00,002475.XSHE,-500,32.46,16230.0,5.0,16.23,21.23,卖出
2024-01-08 09:30:00,601012.XSHG,-800,21.41,17128.0,5.0,17.13,22.13,卖出
2024-01-08 09:30:00,000333.XSHE,-300,55.6,16680.0,5.0,16.68,21.68,卖出
2024-01-08 09:30:00,002714.XSHE,-400,40.4,16160.0,5.0,16.16,21.16,卖出
2024-03-04 09:30:00,000651.XSHE,400,40.4,16160.0,5.0,0.0,5.0,买入
2024-03-04 09:30:00,000568.XSHE,100,174.59,17459.0,5.0,0.0,5.0,买入
2024-03-04 09:30:00,000333.XSHE,200,65.0,13000.0,5.0,0.0,5.0,买入
2024-03-04 09:30:00,300124.XSHE,300,63.63,19089.0,5.0,0.0,5.0,买入
2024-03-04 09:30:00,002415.XSHE,500,35.69,17845.0,5.0,0.0,5.0,买入
2024-03-11 09:30:00,000651.XSHE,-400,40.97,16388.0,5.0,16.39,21.39,卖出
2024-03-11 09:30:00,000568.XSHE,-100,166.71,16671.0,5.0,16.67,21.67,卖出
2024-03-11 09:30:00,000333.XSHE,-200,66.09,13218.0,5.0,13.22,18.22,卖出
2024-03-11 09:30:00,300124.XSHE,-300,66.89,20067.0,5.0,20.07,25.07,卖出
2024-03-11 09:30:00,002415.XSHE,-500,33.74,16870.0,5.0,16.87,21.87,卖出
2024-04-01 09:30:00,601899.XSHG,1100,17.24,18964.0,5.0,0.0,5.0,买入
2024-04-01 09:30:00,600309.XSHG,200,83.4,16680.0,5.0,0.0,5.0,买入
2024-04-01 09:30:00,600919.XSHG,2400,7.91,18984.0,5.0,0.0,5.0,买入
2024-04-01 09:30:00,000858.XSHE,100,154.5,15450.0,5.0,0.0,5.0,买入
2024-04-08 09:30:00,601899.XSHG,-1100,17.65,19415.0,5.0,19.42,24.42,卖出
2024-04-08 09:30:00,600309.XSHG,-200,84.91,16982.0,5.0,16.98,21.98,卖出
2024-04-08 09:30:00,600919.XSHG,-2400,7.92,19008.0,5.0,19.01,24.01,卖出
2024-04-08 09:30:00,000858.XSHE,-100,152.0,15200.0,5.0,15.2,20.2,卖出
2024-05-06 09:30:00,000651.XSHE,400,42.6,17040.0,5.0,0.0,5.0,买入
2024-05-06 09:30:00,601166.XSHG,1100,17.0,18700.0,5.0,0.0,5.0,买入
2024-05-13 09:30:00,000651.XSHE,-400,43.38,17352.0,5.0,17.35,22.35,卖出
2024-05-13 09:30:00,601166.XSHG,-1100,17.05,18755.0,5.0,18.76,23.76,卖出
2024-06-03 09:30:00,601088.XSHG,400,42.7,17080.0,5.0,0.0,5.0,买入
2024-06-03 09:30:00,600900.XSHG,700,26.89,18823.0,5.0,0.0,5.0,买入
2024-06-03 09:30:00,002475.XSHE,600,31.64,18984.0,5.0,0.0,5.0,买入
2024-06-03 09:30:00,601166.XSHG,1000,17.89,17890.0,5.0,0.0,5.0,买入
