event_type,strategy_time,code,event_date,per_base,bonus_pre_tax,net_bonus,tax_rate_percent,cash_in,scale_factor,old_amount,new_amount,cash_before,cash_after,positions_value_before,positions_value_after,total_value_before,total_value_after
现金分红,2024-06-13 09:00:00,002938.XSHE,2024-06-13,10,5.0,4.0,20,240.0,,,,7742.629999999976,7982.629999999976,84687.0,84687.0,92429.62999999998,92669.62999999998
现金分红,2024-06-20 09:00:00,601919.XSHG,2024-06-20,10,2.3000000000000003,1.8400000000000003,20,202.4,,,,7982.629999999976,8185.029999999975,87526.0,87526.0,95508.62999999998,95711.02999999997
现金分红,2024-07-11 09:00:00,002475.XSHE,2024-07-11,10,2.989461,2.3915688,20,95.66,,,,10007.89999999998,10103.55999999998,89385.0,89385.0,99392.89999999998,99488.55999999998
现金分红,2025-05-15 09:00:00,000651.XSHE,2025-05-15,10,10.0,8.0,20,320.0,,,,17147.089999999982,17467.089999999982,76766.0,76766.0,93913.08999999998,94233.08999999998
现金分红,2025-05-23 09:00:00,600276.XSHG,2025-05-23,10,2.0,1.6,20,64.0,,,,17467.089999999982,17531.089999999982,78202.0,78202.0,95669.08999999998,95733.08999999998
现金分红,2025-06-06 09:00:00,600887.XSHG,2025-06-06,10,12.2,9.76,20,585.6,,,,20180.099999999977,20765.699999999975,73538.0,73538.0,93718.09999999998,94303.69999999998
现金分红,2025-06-12 09:00:00,000333.XSHE,2025-06-12,10,35.0,28.0,20,560.0,,,,20765.699999999975,21325.699999999975,73230.0,73230.0,93995.69999999998,94555.69999999998
现金分红,2025-06-20 09:00:00,601166.XSHG,2025-06-20,10,10.600000000000001,8.480000000000002,20,678.4,,,,21325.699999999975,22004.099999999977,70564.0,70564.0,91889.69999999998,92568.09999999998
现金分红,2025-09-30 09:00:00,601899.XSHG,2025-09-30,10,2.2,1.7600000000000002,20,193.6,,,,55069.55999999998,55263.15999999998,95297.0,95297.0,150366.56,150560.15999999997
现金分红,2025-12-15 09:00:00,601398.XSHG,2025-12-15,10,1.414,1.1312,20,418.54,,,,38812.490000000005,39231.030000000006,105174.0,105174.0,143986.49,144405.03
