标的,盈亏(元),名称
300502.XSHE,19386.12,
601138.XSHG,13877.849999999999,
600111.XSHG,10525.899999999998,
300394.XSHE,9247.200000000003,
002736.XSHE,7375.280000000001,
300274.XSHE,6747.500000000001,
600276.XSHG,5889.759999999999,
601100.XSHG,5441.209999999998,
601899.XSHG,5281.470000000005,
002938.XSHE,4200.1799999999985,
300979.XSHE,3693.2999999999993,
601898.XSHG,3401.330000000001,
688036.XSHG,2982.2000000000003,
605117.XSHG,786.7899999999986,
601398.XSHG,599.2099999999996,
601166.XSHG,587.12,
603993.XSHG,586.6799999999986,
600584.XSHG,483.7299999999998,
601919.XSHG,439.1500000000002,
688041.XSHG,423.3500000000008,
600900.XSHG,349.8300000000015,
601318.XSHG,278.8199999999967,
603486.XSHG,226.88000000000102,
300628.XSHE,167.29000000000158,
601117.XSHG,103.87000000000108,
600036.XSHG,-11.530000000001136,
300661.XSHE,-115.45000000000057,
300433.XSHE,-487.56000000000085,
603392.XSHG,-504.62000000000114,
600690.XSHG,-599.8100000000011,
600887.XSHG,-1012.8300000000006,
000651.XSHE,-1078.8299999999997,
002459.XSHE,-1106.5900000000004,
000333.XSHE,-1169.11,
601360.XSHG,-1181.5399999999981,
600023.XSHG,-1315.47,
601808.XSHG,-1375.93,
300751.XSHE,-1794.9900000000005,
601865.XSHG,-1908.1900000000005,
002180.XSHE,-2007.4999999999989,
000938.XSHE,-2209.2000000000007,
300496.XSHE,-3149.7900000000004,
002241.XSHE,-3256.8,
000002.XSHE,-3263.219999999998,
300059.XSHE,-3331.749999999999,
688981.XSHG,-3409.139999999998,
601698.XSHG,-3528.2900000000004,
300308.XSHE,-3758.6400000000017,
603019.XSHG,-4943.509999999998,
002475.XSHE,-5591.680000000003,
300015.XSHE,-5919.02,
