标的,盈亏(元),名称
300502.XSHE,19386.12,
600111.XSHG,10525.899999999998,
300394.XSHE,9247.200000000003,
600276.XSHG,8718.92,
002736.XSHE,6986.580000000001,
300274.XSHE,6747.500000000001,
601100.XSHG,5441.209999999998,
601899.XSHG,4492.100000000005,
300979.XSHE,3693.2999999999993,
002938.XSHE,3152.1699999999987,
601898.XSHG,3138.920000000001,
688036.XSHG,2982.2000000000003,
600010.XSHG,2432.3599999999988,
601166.XSHG,800.03,
605117.XSHG,786.7899999999986,
000651.XSHE,645.1999999999978,
600900.XSHG,587.7300000000025,
603993.XSHG,559.5599999999986,
601398.XSHG,553.9800000000002,
600584.XSHG,483.7299999999998,
601919.XSHG,439.1500000000002,
688041.XSHG,423.3500000000008,
600036.XSHG,229.23999999999782,
603486.XSHG,226.88000000000102,
300628.XSHE,167.29000000000158,
601117.XSHG,98.70000000000105,
300661.XSHE,-115.45000000000057,
300433.XSHE,-439.8000000000008,
603392.XSHG,-504.62000000000114,
600690.XSHG,-599.8100000000011,
300751.XSHE,-800.0200000000001,
300308.XSHE,-857.7800000000021,
601138.XSHG,-1006.9900000000007,
600887.XSHG,-1012.8300000000006,
002459.XSHE,-1106.5900000000004,
601360.XSHG,-1108.3199999999981,
000333.XSHE,-1169.11,
688981.XSHG,-1196.179999999998,
600023.XSHG,-1268.85,
601808.XSHG,-1375.93,
601865.XSHG,-1825.6900000000003,
002180.XSHE,-2007.4999999999989,
600048.XSHG,-2183.989999999999,
000938.XSHE,-2209.2000000000007,
603986.XSHG,-2285.2400000000007,
000002.XSHE,-3108.2999999999984,
601698.XSHG,-3137.3700000000003,
300496.XSHE,-3149.7900000000004,
002241.XSHE,-3256.8,
300059.XSHE,-3331.749999999999,
603019.XSHG,-4943.509999999998,
300015.XSHE,-5426.6,
002475.XSHE,-5591.680000000003,
