标的,开仓次数,名称
601899.XSHG,3,
601166.XSHG,3,
002475.XSHE,3,
300059.XSHE,2,
600276.XSHG,2,
000333.XSHE,2,
600036.XSHG,2,
601138.XSHG,2,
601398.XSHG,2,
601865.XSHG,2,
300274.XSHE,2,
688981.XSHG,2,
603019.XSHG,2,
603986.XSHG,1,
688041.XSHG,1,
688036.XSHG,1,
601100.XSHG,1,
605117.XSHG,1,
601117.XSHG,1,
603993.XSHG,1,
601360.XSHG,1,
601919.XSHG,1,
603486.XSHG,1,
601698.XSHG,1,
601808.XSHG,1,
603392.XSHG,1,
601898.XSHG,1,
600887.XSHG,1,
600900.XSHG,1,
000002.XSHE,1,
600690.XSHG,1,
300394.XSHE,1,
000651.XSHE,1,
000938.XSHE,1,
002180.XSHE,1,
002241.XSHE,1,
002459.XSHE,1,
002736.XSHE,1,
002938.XSHE,1,
300015.XSHE,1,
300308.XSHE,1,
300433.XSHE,1,
600584.XSHG,1,
300496.XSHE,1,
300502.XSHE,1,
300628.XSHE,1,
300661.XSHE,1,
300751.XSHE,1,
300979.XSHE,1,
600010.XSHG,1,
600023.XSHG,1,
600048.XSHG,1,
600111.XSHG,1,
