时间,标的,数量,价格,金额,手续费,印花税,总费用,方向
2024-01-02 09:30:00,603392.XSHG,200,75.5,15100.0,5.0,0.0,5.0,买入
2024-01-02 09:30:00,605117.XSHG,200,82.0,16400.0,5.0,0.0,5.0,买入
2024-01-02 09:30:00,300751.XSHE,100,127.98,12798.0,5.0,0.0,5.0,买入
2024-01-02 09:30:00,688036.XSHG,100,137.91,13791.0,5.0,0.0,5.0,买入
2024-01-02 09:30:00,002241.XSHE,900,21.15,19035.0,5.0,0.0,5.0,买入
2024-03-04 09:30:00,603392.XSHG,-200,73.1,14619.999999999998,5.0,14.62,19.62,卖出
2024-03-04 09:30:00,605117.XSHG,-200,86.07,17214.0,5.0,17.21,22.21,卖出
2024-03-04 09:30:00,300751.XSHE,-100,120.2,12020.0,5.0,12.02,17.02,卖出
2024-03-04 09:30:00,688036.XSHG,-100,168.0,16800.0,5.0,16.8,21.8,卖出
2024-03-04 09:30:00,002241.XSHE,-900,17.56,15803.999999999998,5.0,15.8,20.8,卖出
2024-03-04 09:30:00,603019.XSHG,300,54.8,16440.0,5.0,0.0,5.0,买入
2024-03-04 09:30:00,000938.XSHE,700,24.84,17388.0,5.0,0.0,5.0,买入
2024-03-04 09:30:00,300308.XSHE,100,166.11,16611.0,5.0,0.0,5.0,买入
2024-03-04 09:30:00,601138.XSHG,900,20.8,18720.0,5.0,0.0,5.0,买入
2024-03-04 09:30:00,002180.XSHE,700,26.4,18480.0,5.0,0.0,5.0,买入
2024-04-01 09:30:00,603019.XSHG,-300,48.35,14505.0,5.0,14.51,19.51,卖出
2024-04-01 09:30:00,000938.XSHE,-700,21.72,15204.0,5.0,15.2,20.2,卖出
2024-04-01 09:30:00,300308.XSHE,-100,157.79,15779.0,5.0,15.78,20.78,卖出
2024-04-01 09:30:00,601138.XSHG,-900,22.9,20610.0,5.0,20.61,25.61,卖出
2024-04-01 09:30:00,002180.XSHE,-700,23.57,16499.0,5.0,16.5,21.5,卖出
2024-04-01 09:30:00,603993.XSHG,2100,8.5,17850.0,5.0,0.0,5.0,买入
2024-04-01 09:30:00,601808.XSHG,900,19.2,17280.0,5.0,0.0,5.0,买入
2024-04-01 09:30:00,601865.XSHG,600,29.0,17400.0,5.0,0.0,5.0,买入
2024-04-01 09:30:00,601899.XSHG,1000,17.24,17240.0,5.0,0.0,5.0,买入
2024-04-01 09:30:00,600023.XSHG,2700,6.7,18090.0,5.0,0.0,5.0,买入
2024-05-06 09:30:00,603993.XSHG,-2100,8.78,18438.0,5.0,18.44,23.44,卖出
2024-05-06 09:30:00,601808.XSHG,-900,17.7,15930.0,5.0,15.93,20.93,卖出
2024-05-06 09:30:00,601865.XSHG,-600,26.98,16188.0,5.0,16.19,21.19,卖出
2024-05-06 09:30:00,601899.XSHG,-1000,17.32,17320.0,5.0,17.32,22.32,卖出
2024-05-06 09:30:00,600023.XSHG,-2700,6.24,16848.0,5.0,16.85,21.85,卖出
2024-05-06 09:30:00,603486.XSHG,300,49.55,14865.0,5.0,0.0,5.0,买入
2024-05-06 09:30:00,300628.XSHE,400,36.3,14519.999999999998,5.0,0.0,5.0,买入
2024-05-06 09:30:00,600690.XSHG,500,30.76,15380.0,5.0,0.0,5.0,买入
2024-05-06 09:30:00,300661.XSHE,200,77.7,15540.0,5.0,0.0,5.0,买入
2024-06-03 09:30:00,603486.XSHG,-300,50.39,15117.0,5.0,15.12,20.12,卖出
2024-06-03 09:30:00,300628.XSHE,-400,36.78,14712.0,5.0,14.71,19.71,卖出
2024-06-03 09:30:00,600690.XSHG,-500,29.61,14805.0,5.0,14.81,19.81,卖出
2024-06-03 09:30:00,300661.XSHE,-200,77.25,15450.0,5.0,15.45,20.45,卖出
2024-06-03 09:30:00,601919.XSHG,1100,15.44,16984.0,5.0,0.0,5.0,买入
2024-06-03 09:30:00,002938.XSHE,500,29.69,14845.0,5.0,0.0,5.0,买入
2024-06-03 09:30:00,601117.XSHG,2100,8.18,17178.0,5.0,0.0,5.0,买入
2024-06-03 09:30:00,300496.XSHE,300,56.4,16920.0,5.0,0.0,5.0,买入
2024-06-03 09:30:00,600048.XSHG,1700,10.09,17153.0,5.0,0.0,5.0,买入
2024-07-01 09:30:00,601919.XSHG,-1100,15.68,17248.0,5.0,17.25,22.25,卖出
2024-07-01 09:30:00,601117.XSHG,-2100,8.24,17304.0,5.0,17.3,22.3,卖出
2024-07-01 09:30:00,300496.XSHE,-300,45.98,13793.999999999998,5.0,13.79,18.79,卖出
2024-07-01 09:30:00,600048.XSHG,-1700,8.82,14994.0,5.0,14.99,19.99,卖出
2024-07-01 09:30:00,002475.XSHE,400,39.2,15680.000000000002,5.0,0.0,5.0,买入
2024-07-01 09:30:00,600584.XSHG,500,31.51,15755.0,5.0,0.0,5.0,买入
2024-07-01 09:30:00,300433.XSHE,900,18.02,16218.0,5.0,0.0,5.0,买入
2024-07-01 09:30:00,603986.XSHG,100,95.06,9506.0,5.0,0.0,5.0,买入
2024-09-02 09:30:00,002938.XSHE,-500,35.65,17825.0,5.0,17.83,22.83,卖出
2024-09-02 09:30:00,002475.XSHE,-400,39.22,15688.0,5.0,15.69,20.69,卖出
2024-09-02 09:30:00,600584.XSHG,-500,32.53,16265.0,5.0,16.27,21.27,卖出
2024-09-02 09:30:00,300433.XSHE,-900,17.56,15803.999999999998,5.0,15.8,20.8,卖出
2024-09-02 09:30:00,603986.XSHG,-100,72.38,7238.0,5.0,7.24,12.24,卖出
2024-09-02 09:30:00,300274.XSHE,200,76.9,15380.000000000002,5.0,0.0,5.0,买入
2024-09-02 09:30:00,601100.XSHG,300,51.06,15318.0,5.0,0.0,5.0,买入
2024-09-02 09:30:00,300979.XSHE,200,64.9,12980.000000000002,5.0,0.0,5.0,买入
2024-09-02 09:30:00,002736.XSHE,1800,9.11,16398.0,5.0,0.0,5.0,买入
2024-09-02 09:30:00,601898.XSHG,1200,13.26,15912.0,5.0,0.0,5.0,买入
2024-10-08 09:30:00,300274.XSHE,-200,115.98,23196.0,5.0,23.2,28.2,卖出
2024-10-08 09:30:00,601100.XSHG,-300,69.3,20790.0,5.0,20.79,25.79,卖出
2024-10-08 09:30:00,300979.XSHE,-200,83.5,16700.0,5.0,16.7,21.7,卖出
2024-10-08 09:30:00,002736.XSHE,-1800,13.01,23418.0,5.0,23.42,28.42,卖出
2024-10-08 09:30:00,601898.XSHG,-1200,15.9,19080.0,5.0,19.08,24.08,卖出
2024-10-08 09:30:00,300059.XSHE,900,24.36,21924.0,5.0,0.0,5.0,买入
2024-10-08 09:30:00,300015.XSHE,1100,19.09,20999.0,5.0,0.0,5.0,买入
2024-10-08 09:30:00,000002.XSHE,2000,10.69,21380.0,5.0,0.0,5.0,买入
2024-11-04 09:30:00,300059.XSHE,-900,23.0,20700.0,5.0,20.7,25.7,卖出
2024-11-04 09:30:00,300015.XSHE,-1100,14.18,15598.0,5.0,15.6,20.6,卖出
2024-11-04 09:30:00,000002.XSHE,-2000,9.15,18300.0,5.0,18.3,23.3,卖出
2024-11-04 09:30:00,688981.XSHG,200,84.63,16926.0,5.0,0.0,5.0,买入
2024-11-04 09:30:00,002459.XSHE,1100,17.88,19668.0,5.0,0.0,5.0,买入
2024-11-04 09:30:00,601865.XSHG,700,25.8,18060.0,5.0,0.0,5.0,买入
2024-11-04 09:30:00,688041.XSHG,100,121.99,12199.0,5.0,0.0,5.0,买入
2024-12-02 09:30:00,688981.XSHG,-200,89.9,17980.0,5.0,17.98,22.98,卖出
2024-12-02 09:30:00,002459.XSHE,-1100,16.9,18590.0,5.0,18.59,23.59,卖出
2024-12-02 09:30:00,601865.XSHG,-700,25.0,17500.0,5.0,17.5,22.5,卖出
2024-12-02 09:30:00,688041.XSHG,-100,126.45,12645.0,5.0,12.65,17.65,卖出
2024-12-02 09:30:00,601360.XSHG,1500,12.93,19395.0,5.0,0.0,5.0,买入
2024-12-02 09:30:00,603019.XSHG,200,84.8,16960.0,5.0,0.0,5.0,买入
2024-12-02 09:30:00,601698.XSHG,800,23.1,18480.0,5.0,0.0,5.0,买入
2025-02-05 09:30:00,601360.XSHG,-1500,12.21,18315.0,5.0,18.32,23.32,卖出
2025-02-05 09:30:00,603019.XSHG,-200,70.0,14000.0,5.0,14.0,19.0,卖出
2025-02-05 09:30:00,601698.XSHG,-800,19.21,15368.0,5.0,15.37,20.37,卖出
2025-02-05 09:30:00,601899.XSHG,1800,16.59,29862.0,5.97,0.0,5.97,买入
2025-02-05 09:30:00,601166.XSHG,1500,20.48,30720.0,6.14,0.0,6.14,买入
2025-02-05 09:30:00,600036.XSHG,700,40.85,28595.0,5.72,0.0,5.72,买入
2025-03-03 09:30:00,601899.XSHG,-1800,15.48,27864.0,5.57,27.86,33.43,卖出
2025-03-03 09:30:00,601166.XSHG,-1500,20.91,31365.0,6.27,31.37,37.64,卖出
2025-03-03 09:30:00,002475.XSHE,400,43.98,17592.0,5.0,0.0,5.0,买入
2025-03-03 09:30:00,600036.XSHG,-200,42.12,8424.0,5.0,8.42,13.42,卖出
2025-03-03 09:30:00,600276.XSHG,400,45.95,18380.0,5.0,0.0,5.0,买入
2025-05-06 09:30:00,600036.XSHG,-500,40.9,20450.0,5.0,20.45,25.45,卖出
2025-05-06 09:30:00,002475.XSHE,-400,30.99,12396.0,5.0,12.4,17.4,卖出
2025-05-06 09:30:00,600276.XSHG,-400,52.1,20840.0,5.0,20.84,25.84,卖出
2025-05-06 09:30:00,600900.XSHG,1000,29.65,29650.0,5.93,0.0,5.93,买入
2025-05-06 09:30:00,601398.XSHG,4300,7.01,30143.0,6.03,0.0,6.03,买入
2025-05-06 09:30:00,000651.XSHE,600,45.89,27534.0,5.51,0.0,5.51,买入
2025-06-03 09:30:00,600900.XSHG,-1000,30.28,30280.0,6.06,30.28,36.34,卖出
2025-06-03 09:30:00,601398.XSHG,-4300,7.05,30315.0,6.06,30.32,36.38,卖出
2025-06-03 09:30:00,000651.XSHE,-600,46.23,27737.999999999996,5.55,27.74,33.29,卖出
2025-06-03 09:30:00,600276.XSHG,400,44.79,17916.0,5.0,0.0,5.0,买入
2025-06-03 09:30:00,601166.XSHG,700,23.05,16135.0,5.0,0.0,5.0,买入
2025-06-03 09:30:00,000333.XSHE,200,79.05,15810.0,5.0,0.0,5.0,买入
2025-06-03 09:30:00,600887.XSHG,600,30.01,18006.0,5.0,0.0,5.0,买入
2025-08-04 09:30:00,600276.XSHG,-400,60.6,24240.0,5.0,24.24,29.24,卖出
2025-08-04 09:30:00,601166.XSHG,-700,22.53,15771.0,5.0,15.77,20.77,卖出
2025-08-04 09:30:00,000333.XSHE,-200,70.55,14110.0,5.0,14.11,19.11,卖出
2025-08-04 09:30:00,600887.XSHG,-600,27.39,16434.0,5.0,16.43,21.43,卖出
2025-08-04 09:30:00,600111.XSHG,500,35.7,17850.0,5.0,0.0,5.0,买入
2025-08-04 09:30:00,300394.XSHE,100,105.22,10522.0,5.0,0.0,5.0,买入
2025-08-04 09:30:00,300502.XSHE,100,179.64,17964.0,5.0,0.0,5.0,买入
2025-08-04 09:30:00,600010.XSHG,7700,2.49,19173.0,5.0,0.0,5.0,买入
2025-09-01 09:30:00,600111.XSHG,-500,56.83,28415.0,5.68,28.42,34.1,卖出
2025-09-01 09:30:00,300394.XSHE,-100,197.99,19799.0,5.0,19.8,24.8,卖出
2025-09-01 09:30:00,600010.XSHG,-7700,2.81,21637.0,5.0,21.64,26.64,卖出
2025-09-01 09:30:00,300059.XSHE,900,28.79,25911.0,5.18,0.0,5.18,买入
2025-09-01 09:30:00,601899.XSHG,1100,23.9,26290.0,5.26,0.0,5.26,买入
2025-10-09 09:30:00,300502.XSHE,-100,374.0,37400.0,7.48,37.4,44.88,卖出
2025-10-09 09:30:00,300059.XSHE,-900,26.52,23868.0,5.0,23.87,28.87,卖出
2025-10-09 09:30:00,002475.XSHE,400,63.84,25536.0,5.11,0.0,5.11,买入
2025-10-09 09:30:00,688981.XSHG,100,144.0,14400.0,5.0,0.0,5.0,买入
2025-10-09 09:30:00,601138.XSHG,400,67.11,26844.0,5.37,0.0,5.37,买入
2025-10-09 09:30:00,601899.XSHG,-100,31.22,3122.0,5.0,3.12,8.12,卖出
2025-11-03 09:30:00,002475.XSHE,-400,62.8,25120.0,5.02,25.12,30.14,卖出
2025-11-03 09:30:00,688981.XSHG,-100,122.0,12200.0,5.0,12.2,17.2,卖出
2025-11-03 09:30:00,300274.XSHE,100,193.07,19307.0,5.0,0.0,5.0,买入
2025-11-03 09:30:00,601398.XSHG,3600,7.79,28044.0,5.61,0.0,5.61,买入
2025-12-01 09:30:00,601899.XSHG,-1000,29.5,29500.0,5.9,29.5,35.4,卖出
2025-12-01 09:30:00,601138.XSHG,-400,60.03,24012.0,5.0,24.01,29.01,卖出
2025-12-01 09:30:00,300274.XSHE,-100,183.0,18300.0,5.0,18.3,23.3,卖出
2025-12-01 09:30:00,600036.XSHG,600,43.08,25848.0,5.17,0.0,5.17,买入
2025-12-01 09:30:00,000333.XSHE,300,79.8,23940.0,5.0,0.0,5.0,买入
2025-12-01 09:30:00,601166.XSHG,1200,20.93,25116.0,5.02,0.0,5.02,买入
2025-12-01 09:30:00,601398.XSHG,-200,8.05,1610.0000000000002,5.0,1.61,6.61,卖出
